SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  40
DISK1_MAX :  60
DISK2_MIN :  50
DISK2_MAX :  70
10119 Job 703  arrives
10124 Job 314  finishes at Disk 1
10126 Job 119  finishes at Disk 2
10126 Job 456  finishes at CPU
10138 Job 704  arrives
10141 Job 457  finishes at CPU
10152 Job 705  arrives
10154 Job 187  finishes at CPU
10164 Job 706  arrives
10172 Job 197  finishes at CPU
10173 Job 315  finishes at Disk 1
10183 Job 707  arrives
10189 Job 458  finishes at CPU
10189 Job 458  finishes
10191 Job 122  finishes at Disk 2
10198 Job 708  arrives
10205 Job 459  finishes at CPU
10214 Job 709  arrives
10215 Job 317  finishes at Disk 1
10222 Job 460  finishes at CPU
10224 Job 710  arrives
10235 Job 34   finishes at CPU
10235 Job 34   finishes
10242 Job 711  arrives
10249 Job 461  finishes at CPU
10253 Job 712  arrives
10258 Job 301  finishes at Disk 2
10265 Job 137  finishes at Disk 1
10266 Job 462  finishes at CPU
10268 Job 713  arrives
10278 Job 188  finishes at CPU
10283 Job 714  arrives
10292 Job 463  finishes at CPU
10294 Job 715  arrives
10304 Job 716  arrives
10306 Job 87   finishes at CPU
10306 Job 87   finishes
10316 Job 464  finishes at CPU
10318 Job 319  finishes at Disk 1
10321 Job 123  finishes at Disk 2
10321 Job 717  arrives
10326 Job 465  finishes at CPU
10337 Job 718  arrives
10342 Job 466  finishes at CPU
10355 Job 719  arrives
10358 Job 467  finishes at CPU
10366 Job 720  arrives
10371 Job 138  finishes at Disk 1
10377 Job 189  finishes at CPU
10382 Job 303  finishes at Disk 2
10385 Job 721  arrives
10395 Job 203  finishes at CPU
10401 Job 722  arrives
10406 Job 468  finishes at CPU
10412 Job 723  arrives
10416 Job 469  finishes at CPU
10429 Job 323  finishes at Disk 1
10430 Job 724  arrives
10432 Job 470  finishes at CPU
10438 Job 304  finishes at Disk 2
10442 Job 471  finishes at CPU
10446 Job 725  arrives
10459 Job 191  finishes at CPU
10459 Job 191  finishes
10463 Job 726  arrives
10474 Job 140  finishes at Disk 1
10475 Job 36   finishes at CPU
10482 Job 727  arrives
10491 Job 472  finishes at CPU
10492 Job 306  finishes at Disk 2
10497 Job 728  arrives
10508 Job 473  finishes at CPU
10510 Job 729  arrives
10522 Job 474  finishes at CPU
10522 Job 474  finishes
10524 Job 326  finishes at Disk 1
10524 Job 730  arrives
10537 Job 205  finishes at CPU
10539 Job 731  arrives
10543 Job 307  finishes at Disk 2
10550 Job 732  arrives
10556 Job 475  finishes at CPU
10561 Job 733  arrives
10567 Job 192  finishes at CPU
10578 Job 734  arrives
10580 Job 476  finishes at CPU
10580 Job 476  finishes
10582 Job 327  finishes at Disk 1
10590 Job 735  arrives
10599 Job 477  finishes at CPU
10602 Job 309  finishes at Disk 2
10607 Job 736  arrives
10612 Job 478  finishes at CPU
10623 Job 737  arrives
10624 Job 207  finishes at CPU
10633 Job 738  arrives
10635 Job 132  finishes at Disk 1
10639 Job 193  finishes at CPU
10648 Job 739  arrives
10649 Job 479  finishes at CPU
10649 Job 479  finishes
10662 Job 740  arrives
10662 Job 480  finishes at CPU
10665 Job 310  finishes at Disk 2
10676 Job 481  finishes at CPU
10677 Job 741  arrives
10680 Job 328  finishes at Disk 1
10688 Job 482  finishes at CPU
10688 Job 742  arrives
10698 Job 208  finishes at CPU
10704 Job 743  arrives
10708 Job 483  finishes at CPU
10720 Job 744  arrives
10724 Job 194  finishes at CPU
10731 Job 311  finishes at Disk 2
10734 Job 135  finishes at Disk 1
10739 Job 745  arrives
10740 Job 484  finishes at CPU
10750 Job 485  finishes at CPU
10753 Job 746  arrives
10761 Job 209  finishes at CPU
10766 Job 747  arrives
10779 Job 332  finishes at Disk 1
10779 Job 486  finishes at CPU
10783 Job 748  arrives
10789 Job 487  finishes at CPU
10792 Job 312  finishes at Disk 2
10801 Job 749  arrives
10806 Job 198  finishes at CPU
10816 Job 750  arrives
10818 Job 488  finishes at CPU
10829 Job 489  finishes at CPU
10830 Job 334  finishes at Disk 1
10834 Job 751  arrives
10843 Job 490  finishes at CPU
10851 Job 7    finishes at Disk 2
10851 Job 752  arrives
10853 Job 37   finishes at CPU
10861 Job 753  arrives
10870 Job 491  finishes at CPU
10878 Job 144  finishes at Disk 1
10880 Job 754  arrives
10888 Job 492  finishes at CPU
10888 Job 492  finishes
10898 Job 199  finishes at CPU
10898 Job 199  finishes
10899 Job 755  arrives
10908 Job 493  finishes at CPU
10908 Job 493  finishes
10910 Job 316  finishes at Disk 2
10918 Job 336  finishes at Disk 1
10918 Job 756  arrives
10926 Job 213  finishes at CPU
10926 Job 213  finishes
10929 Job 757  arrives
10936 Job 494  finishes at CPU
10945 Job 758  arrives
10951 Job 495  finishes at CPU
10959 Job 759  arrives
10966 Job 338  finishes at Disk 1
10967 Job 200  finishes at CPU
10972 Job 318  finishes at Disk 2
10978 Job 760  arrives
10981 Job 496  finishes at CPU
10991 Job 761  arrives
10991 Job 497  finishes at CPU
11002 Job 762  arrives
11009 Job 93   finishes at CPU
11017 Job 763  arrives
11020 Job 498  finishes at CPU
11020 Job 498  finishes
11022 Job 55   finishes at Disk 1
11028 Job 764  arrives
11036 Job 499  finishes at CPU
11038 Job 129  finishes at Disk 2
11042 Job 765  arrives
11051 Job 202  finishes at CPU
11053 Job 766  arrives
11070 Job 500  finishes at CPU
11070 Job 767  arrives
11074 Job 341  finishes at Disk 1
11086 Job 768  arrives
11089 Job 217  finishes at CPU
11098 Job 322  finishes at Disk 2
11098 Job 769  arrives
11107 Job 501  finishes at CPU
11113 Job 770  arrives
11117 Job 342  finishes at Disk 1
11123 Job 502  finishes at CPU
11123 Job 502  finishes
11132 Job 771  arrives
11138 Job 94   finishes at CPU
11143 Job 772  arrives
11151 Job 130  finishes at Disk 2
11154 Job 503  finishes at CPU
11154 Job 773  arrives
11167 Job 774  arrives
11170 Job 204  finishes at CPU
11170 Job 204  finishes
11171 Job 60   finishes at Disk 1
11182 Job 775  arrives
11183 Job 504  finishes at CPU
11195 Job 505  finishes at CPU
11200 Job 776  arrives
11201 Job 324  finishes at Disk 2
11205 Job 220  finishes at CPU
11214 Job 777  arrives
11217 Job 345  finishes at Disk 1
11218 Job 506  finishes at CPU
11230 Job 778  arrives
11236 Job 507  finishes at CPU
11246 Job 779  arrives
11251 Job 39   finishes at CPU
11263 Job 780  arrives
11265 Job 90   finishes at CPU
11265 Job 90   finishes
11266 Job 325  finishes at Disk 2
11266 Job 346  finishes at Disk 1
11278 Job 508  finishes at CPU
11280 Job 781  arrives
11296 Job 509  finishes at CPU
11299 Job 782  arrives
11309 Job 57   finishes at Disk 1
11313 Job 783  arrives
11315 Job 510  finishes at CPU
11325 Job 141  finishes at Disk 2
11329 Job 784  arrives
11330 Job 3    finishes at CPU
11339 Job 785  arrives
11347 Job 511  finishes at CPU
11349 Job 786  arrives
11350 Job 349  finishes at Disk 1
11363 Job 206  finishes at CPU
11364 Job 787  arrives
11374 Job 788  arrives
11382 Job 512  finishes at CPU
11382 Job 512  finishes
11389 Job 789  arrives
11391 Job 329  finishes at Disk 2
11395 Job 351  finishes at Disk 1
11398 Job 222  finishes at CPU
11403 Job 790  arrives
11413 Job 513  finishes at CPU
11422 Job 791  arrives
11427 Job 514  finishes at CPU
11434 Job 792  arrives
11444 Job 515  finishes at CPU
11444 Job 515  finishes
11448 Job 143  finishes at Disk 2
11448 Job 793  arrives
11452 Job 352  finishes at Disk 1
11459 Job 91   finishes at CPU
11459 Job 794  arrives
11474 Job 795  arrives
11475 Job 224  finishes at CPU
11486 Job 516  finishes at CPU
11488 Job 796  arrives
11499 Job 142  finishes at Disk 1
11500 Job 797  arrives
11501 Job 517  finishes at CPU
11513 Job 518  finishes at CPU
11515 Job 333  finishes at Disk 2
11515 Job 798  arrives
11532 Job 519  finishes at CPU
11533 Job 799  arrives
11544 Job 354  finishes at Disk 1
11548 Job 228  finishes at CPU
11548 Job 800  arrives
11560 Job 520  finishes at CPU
11567 Job 801  arrives
11572 Job 210  finishes at CPU
11575 Job 335  finishes at Disk 2
11579 Job 802  arrives
11583 Job 521  finishes at CPU
11589 Job 803  arrives
11594 Job 522  finishes at CPU
11601 Job 356  finishes at Disk 1
11602 Job 804  arrives
11613 Job 523  finishes at CPU
11618 Job 805  arrives
11629 Job 95   finishes at CPU
11633 Job 337  finishes at Disk 2
11635 Job 806  arrives
11641 Job 357  finishes at Disk 1
11646 Job 524  finishes at CPU
11648 Job 807  arrives
11660 Job 808  arrives
11665 Job 15   finishes at CPU
11676 Job 809  arrives
11679 Job 525  finishes at CPU
11686 Job 810  arrives
11691 Job 58   finishes at Disk 2
11692 Job 358  finishes at Disk 1
11693 Job 231  finishes at CPU
11698 Job 811  arrives
11711 Job 526  finishes at CPU
11715 Job 812  arrives
11721 Job 527  finishes at CPU
11729 Job 813  arrives
11739 Job 528  finishes at CPU
11744 Job 814  arrives
11748 Job 360  finishes at Disk 1
11749 Job 214  finishes at CPU
11750 Job 339  finishes at Disk 2
11756 Job 815  arrives
11766 Job 529  finishes at CPU
11775 Job 816  arrives
11783 Job 41   finishes at CPU
11788 Job 817  arrives
11794 Job 530  finishes at CPU
11794 Job 530  finishes
11800 Job 146  finishes at Disk 2
11803 Job 818  arrives
11807 Job 145  finishes at Disk 1
11807 Job 531  finishes at CPU
11819 Job 532  finishes at CPU
11822 Job 819  arrives
11835 Job 820  arrives
11836 Job 215  finishes at CPU
11836 Job 215  finishes
11845 Job 821  arrives
11851 Job 233  finishes at CPU
11851 Job 233  finishes
11858 Job 822  arrives
11861 Job 343  finishes at Disk 2
11861 Job 533  finishes at CPU
11866 Job 362  finishes at Disk 1
11874 Job 534  finishes at CPU
11875 Job 823  arrives
11889 Job 824  arrives
11893 Job 535  finishes at CPU
11903 Job 825  arrives
11905 Job 100  finishes at CPU
11910 Job 68   finishes at Disk 1
11917 Job 536  finishes at CPU
11919 Job 344  finishes at Disk 2
11922 Job 826  arrives
11934 Job 218  finishes at CPU
11938 Job 827  arrives
11948 Job 828  arrives
11949 Job 537  finishes at CPU
11958 Job 829  arrives
11965 Job 365  finishes at Disk 1
11965 Job 538  finishes at CPU
11971 Job 830  arrives
11980 Job 539  finishes at CPU
11981 Job 347  finishes at Disk 2
11983 Job 831  arrives
11994 Job 97   finishes at CPU
11995 Job 832  arrives
12011 Job 219  finishes at CPU
12014 Job 833  arrives
12021 Job 366  finishes at Disk 1
12026 Job 540  finishes at CPU
12026 Job 540  finishes
12032 Job 834  arrives
12040 Job 541  finishes at CPU
12044 Job 348  finishes at Disk 2
12044 Job 835  arrives
12052 Job 542  finishes at CPU
12052 Job 542  finishes
12060 Job 836  arrives
12063 Job 543  finishes at CPU
12075 Job 837  arrives
12077 Job 103  finishes at CPU
12077 Job 103  finishes
12078 Job 156  finishes at Disk 1
12092 Job 221  finishes at CPU
12092 Job 221  finishes
12093 Job 838  arrives
12100 Job 149  finishes at Disk 2
12109 Job 544  finishes at CPU
12111 Job 839  arrives
12119 Job 158  finishes at Disk 1
12126 Job 545  finishes at CPU
12127 Job 840  arrives
12143 Job 546  finishes at CPU
12144 Job 841  arrives
12154 Job 239  finishes at CPU
12158 Job 350  finishes at Disk 2
12163 Job 842  arrives
12167 Job 547  finishes at CPU
12167 Job 547  finishes
12168 Job 370  finishes at Disk 1
12177 Job 843  arrives
12181 Job 223  finishes at CPU
12189 Job 844  arrives
12192 Job 548  finishes at CPU
12207 Job 845  arrives
12209 Job 549  finishes at CPU
12210 Job 150  finishes at Disk 2
12222 Job 550  finishes at CPU
12224 Job 846  arrives
12225 Job 372  finishes at Disk 1
12234 Job 847  arrives
12237 Job 43   finishes at CPU
12250 Job 92   finishes at CPU
12253 Job 848  arrives
12266 Job 551  finishes at CPU
12268 Job 353  finishes at Disk 2
12268 Job 849  arrives
12269 Job 374  finishes at Disk 1
12278 Job 552  finishes at CPU
12278 Job 552  finishes
12279 Job 850  arrives
12288 Job 553  finishes at CPU
12291 Job 851  arrives
12299 Job 45   finishes at CPU
12309 Job 63   finishes at Disk 1
12309 Job 852  arrives
12318 Job 554  finishes at CPU
12321 Job 853  arrives
12322 Job 355  finishes at Disk 2
12332 Job 854  arrives
12334 Job 226  finishes at CPU
12345 Job 555  finishes at CPU
12349 Job 855  arrives
12355 Job 375  finishes at Disk 1
12361 Job 556  finishes at CPU
12361 Job 856  arrives
12376 Job 152  finishes at Disk 2
12378 Job 857  arrives
12380 Job 557  finishes at CPU
12392 Job 858  arrives
12394 Job 246  finishes at CPU
12409 Job 859  arrives
12411 Job 558  finishes at CPU
12413 Job 379  finishes at Disk 1
12425 Job 559  finishes at CPU
12427 Job 860  arrives
12435 Job 230  finishes at CPU
12438 Job 62   finishes at Disk 2
12440 Job 861  arrives
12445 Job 560  finishes at CPU
12458 Job 66   finishes at Disk 1
12459 Job 862  arrives
12459 Job 107  finishes at CPU
12473 Job 863  arrives
12476 Job 561  finishes at CPU
12491 Job 864  arrives
12495 Job 562  finishes at CPU
12495 Job 562  finishes
12506 Job 359  finishes at Disk 2
12508 Job 563  finishes at CPU
12509 Job 865  arrives
12517 Job 163  finishes at Disk 1
12523 Job 866  arrives
12527 Job 6    finishes at CPU
12537 Job 247  finishes at CPU
12541 Job 867  arrives
12552 Job 868  arrives
12556 Job 564  finishes at CPU
12556 Job 564  finishes
12568 Job 869  arrives
12568 Job 565  finishes at CPU
12570 Job 64   finishes at Disk 2
12571 Job 383  finishes at Disk 1
12578 Job 870  arrives
12585 Job 566  finishes at CPU
12585 Job 566  finishes
12588 Job 871  arrives
12600 Job 567  finishes at CPU
12600 Job 872  arrives
12610 Job 873  arrives
12618 Job 232  finishes at CPU
12624 Job 153  finishes at Disk 1
12628 Job 874  arrives
12628 Job 101  finishes at CPU
12638 Job 361  finishes at Disk 2
12641 Job 875  arrives
12641 Job 568  finishes at CPU
12651 Job 876  arrives
12660 Job 569  finishes at CPU
12660 Job 569  finishes
12661 Job 877  arrives
12667 Job 385  finishes at Disk 1
12673 Job 878  arrives
12674 Job 570  finishes at CPU
12684 Job 251  finishes at CPU
12688 Job 363  finishes at Disk 2
12690 Job 879  arrives
12694 Job 235  finishes at CPU
12705 Job 880  arrives
12706 Job 571  finishes at CPU
12716 Job 881  arrives
12717 Job 386  finishes at Disk 1
12724 Job 572  finishes at CPU
12734 Job 882  arrives
12738 Job 573  finishes at CPU
12746 Job 364  finishes at Disk 2
12746 Job 883  arrives
12756 Job 253  finishes at CPU
12756 Job 253  finishes
12764 Job 884  arrives
12766 Job 574  finishes at CPU
12776 Job 166  finishes at Disk 1
12777 Job 575  finishes at CPU
12778 Job 885  arrives
12794 Job 886  arrives
12796 Job 237  finishes at CPU
12799 Job 147  finishes at Disk 2
12811 Job 887  arrives
12813 Job 576  finishes at CPU
12821 Job 888  arrives
12827 Job 577  finishes at CPU
12831 Job 389  finishes at Disk 1
12835 Job 889  arrives
12845 Job 254  finishes at CPU
12845 Job 254  finishes
12849 Job 367  finishes at Disk 2
12849 Job 890  arrives
12861 Job 891  arrives
12863 Job 578  finishes at CPU
12863 Job 578  finishes
12874 Job 892  arrives
12875 Job 579  finishes at CPU
12881 Job 167  finishes at Disk 1
12888 Job 238  finishes at CPU
12890 Job 893  arrives
12904 Job 894  arrives
12905 Job 580  finishes at CPU
12915 Job 895  arrives
12916 Job 368  finishes at Disk 2
12924 Job 581  finishes at CPU
12927 Job 896  arrives
12934 Job 155  finishes at Disk 1
12937 Job 897  arrives
12938 Job 255  finishes at CPU
12947 Job 898  arrives
12951 Job 582  finishes at CPU
12964 Job 899  arrives
12969 Job 240  finishes at CPU
12974 Job 393  finishes at Disk 1
12977 Job 900  arrives
12978 Job 13   finishes at Disk 2
12988 Job 583  finishes at CPU
12991 Job 901  arrives
12999 Job 584  finishes at CPU
13002 Job 902  arrives
13011 Job 585  finishes at CPU
13020 Job 903  arrives
13022 Job 258  finishes at CPU
13022 Job 258  finishes
13025 Job 394  finishes at Disk 1
13036 Job 904  arrives
13037 Job 586  finishes at CPU
13040 Job 373  finishes at Disk 2
13047 Job 241  finishes at CPU
13049 Job 905  arrives
13060 Job 587  finishes at CPU
13061 Job 906  arrives
13075 Job 588  finishes at CPU
13076 Job 907  arrives
13081 Job 65   finishes at Disk 1
13086 Job 260  finishes at CPU
13091 Job 908  arrives
13098 Job 69   finishes at Disk 2
13104 Job 589  finishes at CPU
13105 Job 909  arrives
13114 Job 242  finishes at CPU
13114 Job 242  finishes
13121 Job 910  arrives
13124 Job 396  finishes at Disk 1
13133 Job 590  finishes at CPU
13133 Job 911  arrives
13147 Job 591  finishes at CPU
13147 Job 912  arrives
13147 Job 591  finishes
13158 Job 376  finishes at Disk 2
13158 Job 913  arrives
13159 Job 592  finishes at CPU
13169 Job 261  finishes at CPU
13169 Job 261  finishes
13173 Job 398  finishes at Disk 1
13173 Job 914  arrives
13184 Job 915  arrives
13188 Job 593  finishes at CPU
13198 Job 916  arrives
13207 Job 594  finishes at CPU
13213 Job 377  finishes at Disk 2
13217 Job 917  arrives
13221 Job 76   finishes at Disk 1
13223 Job 243  finishes at CPU
13230 Job 918  arrives
13236 Job 595  finishes at CPU
13240 Job 919  arrives
13249 Job 596  finishes at CPU
13253 Job 920  arrives
13266 Job 263  finishes at CPU
13268 Job 921  arrives
13269 Job 401  finishes at Disk 1
13281 Job 162  finishes at Disk 2
13281 Job 922  arrives
13284 Job 597  finishes at CPU
13294 Job 923  arrives
13298 Job 598  finishes at CPU
13310 Job 248  finishes at CPU
13312 Job 924  arrives
13322 Job 174  finishes at Disk 1
13323 Job 925  arrives
13324 Job 599  finishes at CPU
13324 Job 599  finishes
13331 Job 380  finishes at Disk 2
13335 Job 600  finishes at CPU
13339 Job 926  arrives
13349 Job 927  arrives
13354 Job 265  finishes at CPU
13354 Job 265  finishes
13361 Job 928  arrives
13364 Job 404  finishes at Disk 1
13364 Job 601  finishes at CPU
13379 Job 929  arrives
13383 Job 602  finishes at CPU
13389 Job 930  arrives
13393 Job 381  finishes at Disk 2
13397 Job 250  finishes at CPU
13405 Job 931  arrives
13408 Job 603  finishes at CPU
13418 Job 932  arrives
13422 Job 67   finishes at Disk 1
13422 Job 117  finishes at CPU
13429 Job 933  arrives
13433 Job 604  finishes at CPU
13442 Job 934  arrives
13452 Job 605  finishes at CPU
13453 Job 935  arrives
13456 Job 382  finishes at Disk 2
13468 Job 606  finishes at CPU
13468 Job 936  arrives
13476 Job 406  finishes at Disk 1
13478 Job 937  arrives
13484 Job 268  finishes at CPU
13494 Job 938  arrives
13497 Job 607  finishes at CPU
13506 Job 939  arrives
13511 Job 44   finishes at CPU
13516 Job 164  finishes at Disk 2
13519 Job 940  arrives
13527 Job 608  finishes at CPU
13529 Job 165  finishes at Disk 1
13538 Job 941  arrives
13543 Job 609  finishes at CPU
13549 Job 942  arrives
13562 Job 112  finishes at CPU
13568 Job 943  arrives
13580 Job 384  finishes at Disk 2
13580 Job 610  finishes at CPU
13583 Job 409  finishes at Disk 1
13585 Job 944  arrives
13598 Job 8    finishes at CPU
13598 Job 8    finishes
13599 Job 945  arrives
13610 Job 946  arrives
13613 Job 611  finishes at CPU
13622 Job 947  arrives
13627 Job 411  finishes at Disk 1
13631 Job 612  finishes at CPU
13633 Job 387  finishes at Disk 2
13634 Job 948  arrives
13646 Job 613  finishes at CPU
13646 Job 949  arrives
13664 Job 950  arrives
13665 Job 118  finishes at CPU
13668 Job 70   finishes at Disk 1
13677 Job 614  finishes at CPU
13679 Job 951  arrives
13690 Job 952  arrives
13693 Job 615  finishes at CPU
13698 Job 154  finishes at Disk 2
13706 Job 257  finishes at CPU
13707 Job 953  arrives
13715 Job 413  finishes at Disk 1
13716 Job 616  finishes at CPU
13726 Job 954  arrives
13726 Job 617  finishes at CPU
13738 Job 273  finishes at CPU
13741 Job 955  arrives
13756 Job 618  finishes at CPU
13758 Job 956  arrives
13763 Job 390  finishes at Disk 2
13763 Job 415  finishes at Disk 1
13773 Job 619  finishes at CPU
13775 Job 957  arrives
13786 Job 17   finishes at CPU
13794 Job 958  arrives
13804 Job 620  finishes at CPU
13805 Job 959  arrives
13814 Job 391  finishes at Disk 2
13818 Job 78   finishes at Disk 1
13822 Job 120  finishes at CPU
13822 Job 960  arrives
13835 Job 621  finishes at CPU
13839 Job 961  arrives
13847 Job 622  finishes at CPU
13853 Job 962  arrives
13860 Job 623  finishes at CPU
13869 Job 963  arrives
13870 Job 624  finishes at CPU
13875 Job 392  finishes at Disk 2
13875 Job 172  finishes at Disk 1
13880 Job 114  finishes at CPU
13883 Job 964  arrives
13894 Job 259  finishes at CPU
13895 Job 965  arrives
13904 Job 625  finishes at CPU
13905 Job 966  arrives
13919 Job 626  finishes at CPU
13919 Job 626  finishes
13920 Job 967  arrives
13929 Job 420  finishes at Disk 1
13931 Job 627  finishes at CPU
13933 Job 968  arrives
13940 Job 169  finishes at Disk 2
13943 Job 969  arrives
13944 Job 278  finishes at CPU
13959 Job 970  arrives
13961 Job 628  finishes at CPU
13971 Job 971  arrives
13976 Job 421  finishes at Disk 1
13978 Job 48   finishes at CPU
13978 Job 48   finishes
13981 Job 972  arrives
13990 Job 629  finishes at CPU
13990 Job 629  finishes
13997 Job 395  finishes at Disk 2
13999 Job 973  arrives
14003 Job 630  finishes at CPU
14003 Job 630  finishes
14011 Job 974  arrives
14013 Job 279  finishes at CPU
14021 Job 173  finishes at Disk 1
14025 Job 631  finishes at CPU
14029 Job 975  arrives
14035 Job 632  finishes at CPU
14040 Job 976  arrives
14054 Job 633  finishes at CPU
14056 Job 977  arrives
14059 Job 171  finishes at Disk 2
14064 Job 424  finishes at Disk 1
14067 Job 115  finishes at CPU
14075 Job 978  arrives
14078 Job 634  finishes at CPU
14089 Job 979  arrives
14095 Job 116  finishes at CPU
14101 Job 980  arrives
14104 Job 428  finishes at Disk 1
14114 Job 635  finishes at CPU
14119 Job 981  arrives
14122 Job 399  finishes at Disk 2
14131 Job 636  finishes at CPU
14136 Job 982  arrives
14149 Job 264  finishes at CPU
14153 Job 175  finishes at Disk 1
14153 Job 983  arrives
14160 Job 51   finishes at CPU
14171 Job 984  arrives
14178 Job 637  finishes at CPU
14182 Job 400  finishes at Disk 2
14188 Job 985  arrives
14191 Job 638  finishes at CPU
14201 Job 639  finishes at CPU
14202 Job 986  arrives
14209 Job 430  finishes at Disk 1
14211 Job 266  finishes at CPU
14211 Job 266  finishes
14220 Job 987  arrives
14229 Job 283  finishes at CPU
14238 Job 161  finishes at Disk 2
14239 Job 988  arrives
14245 Job 640  finishes at CPU
14250 Job 431  finishes at Disk 1
14256 Job 989  arrives
14259 Job 641  finishes at CPU
14266 Job 990  arrives
14273 Job 642  finishes at CPU
14285 Job 991  arrives
14285 Job 643  finishes at CPU
14290 Job 5    finishes at Disk 1
14295 Job 992  arrives
14297 Job 403  finishes at Disk 2
14300 Job 47   finishes at CPU
14307 Job 993  arrives
14318 Job 644  finishes at CPU
14325 Job 994  arrives
14333 Job 110  finishes at CPU
14342 Job 995  arrives
14344 Job 645  finishes at CPU
14349 Job 435  finishes at Disk 1
14349 Job 405  finishes at Disk 2
14356 Job 646  finishes at CPU
14359 Job 996  arrives
14369 Job 647  finishes at CPU
14369 Job 647  finishes
14374 Job 997  arrives
14386 Job 288  finishes at CPU
14390 Job 998  arrives
14393 Job 436  finishes at Disk 1
14397 Job 648  finishes at CPU
14409 Job 999  arrives
14412 Job 407  finishes at Disk 2
14413 Job 270  finishes at CPU
14426 Job 1000 arrives
14429 Job 649  finishes at CPU
14438 Job 1001 arrives
14441 Job 650  finishes at CPU
14450 Job 1002 arrives
14451 Job 79   finishes at Disk 1
14458 Job 289  finishes at CPU
14458 Job 289  finishes
14467 Job 1003 arrives
14469 Job 408  finishes at Disk 2
14472 Job 651  finishes at CPU
14480 Job 1004 arrives
14488 Job 652  finishes at CPU
14498 Job 1005 arrives
14506 Job 441  finishes at Disk 1
14507 Job 653  finishes at CPU
14508 Job 1006 arrives
14518 Job 1007 arrives
14521 Job 271  finishes at CPU
14521 Job 271  finishes
14528 Job 410  finishes at Disk 2
14537 Job 1008 arrives
14540 Job 19   finishes at CPU
14551 Job 1009 arrives
14552 Job 654  finishes at CPU
14555 Job 442  finishes at Disk 1
14569 Job 655  finishes at CPU
14570 Job 1010 arrives
14581 Job 1011 arrives
14583 Job 656  finishes at CPU
14593 Job 412  finishes at Disk 2
14594 Job 1012 arrives
14597 Job 293  finishes at CPU
14597 Job 293  finishes
14609 Job 443  finishes at Disk 1
14609 Job 1013 arrives
14611 Job 272  finishes at CPU
14611 Job 272  finishes
14620 Job 1014 arrives
14627 Job 657  finishes at CPU
14637 Job 1015 arrives
14637 Job 658  finishes at CPU
14647 Job 659  finishes at CPU
14651 Job 444  finishes at Disk 1
14652 Job 1016 arrives
14659 Job 180  finishes at Disk 2
14663 Job 660  finishes at CPU
14665 Job 1017 arrives
14677 Job 1018 arrives
14679 Job 295  finishes at CPU
14691 Job 661  finishes at CPU
14691 Job 661  finishes
14695 Job 1019 arrives
14704 Job 662  finishes at CPU
14707 Job 1020 arrives
14708 Job 181  finishes at Disk 1
14711 Job 416  finishes at Disk 2
14718 Job 274  finishes at CPU
14718 Job 274  finishes
14724 Job 1021 arrives
14733 Job 663  finishes at CPU
14740 Job 1022 arrives
14749 Job 298  finishes at CPU
14756 Job 1023 arrives
14757 Job 84   finishes at Disk 1
14763 Job 417  finishes at Disk 2
14764 Job 664  finishes at CPU
14772 Job 1024 arrives
14775 Job 665  finishes at CPU
14783 Job 1025 arrives
14786 Job 666  finishes at CPU
14795 Job 1026 arrives
14798 Job 54   finishes at CPU
14805 Job 1027 arrives
14808 Job 77   finishes at Disk 1
14808 Job 275  finishes at CPU
14816 Job 419  finishes at Disk 2
14818 Job 667  finishes at CPU
14819 Job 1028 arrives
14828 Job 668  finishes at CPU
14829 Job 1029 arrives
14845 Job 669  finishes at CPU
14848 Job 1030 arrives
14863 Job 451  finishes at Disk 1
14863 Job 300  finishes at CPU
14866 Job 1031 arrives
14874 Job 670  finishes at CPU
14884 Job 182  finishes at Disk 2
14884 Job 1032 arrives
14884 Job 49   finishes at CPU
14901 Job 671  finishes at CPU
14902 Job 1033 arrives
14905 Job 452  finishes at Disk 1
14918 Job 672  finishes at CPU
14918 Job 1034 arrives
14932 Job 1035 arrives
14934 Job 302  finishes at CPU
14945 Job 423  finishes at Disk 2
14950 Job 86   finishes at Disk 1
14951 Job 1036 arrives
14953 Job 673  finishes at CPU
14965 Job 1037 arrives
14968 Job 674  finishes at CPU
14982 Job 1038 arrives
14982 Job 675  finishes at CPU
14990 Job 455  finishes at Disk 1
14994 Job 1039 arrives
14999 Job 676  finishes at CPU
15004 Job 426  finishes at Disk 2
15007 Job 1040 arrives
15016 Job 280  finishes at CPU
15025 Job 1041 arrives
15030 Job 187  finishes at Disk 1
15035 Job 131  finishes at CPU
15041 Job 1042 arrives
15051 Job 677  finishes at CPU
15054 Job 1043 arrives
15064 Job 678  finishes at CPU
15064 Job 678  finishes
15067 Job 185  finishes at Disk 2
15072 Job 459  finishes at Disk 1
15073 Job 1044 arrives
15077 Job 679  finishes at CPU
15077 Job 679  finishes
15084 Job 1045 arrives
15093 Job 305  finishes at CPU
15103 Job 1046 arrives
15103 Job 680  finishes at CPU
15103 Job 680  finishes
15116 Job 281  finishes at CPU
15120 Job 460  finishes at Disk 1
15122 Job 1047 arrives
15126 Job 681  finishes at CPU
15133 Job 429  finishes at Disk 2
15138 Job 1048 arrives
15145 Job 682  finishes at CPU
15153 Job 1049 arrives
15157 Job 124  finishes at CPU
15157 Job 124  finishes
